year	country	country_id	hs_category	import_value	export_value
2018	Belarus	blr	Transportation	2109863772.0	2995045033.0
2018	Bermuda	bmu	Transportation	737775438.0	124724465.0
2018	Tajikistan	tjk	Transportation	305143604.0	748771.0
2018	Saint Barthélemy	blm	Transportation	11046936.0	444273.0
2018	Lebanon	lbn	Transportation	1812858234.0	43229932.0
2018	Iceland	isl	Transportation	1269574594.0	351355268.0
2018	Botswana	bwa	Transportation	551956129.0	60277414.0
2018	Spain	esp	Transportation	49754595326.0	67652073148.0
2018	Togo	tgo	Transportation	626184083.0	85817200.0
2018	Philippines	phl	Transportation	11794559334.0	1618979436.0
2018	Czechia	cze	Transportation	19692569422.0	43074725829.0
2018	Libya	lby	Transportation	811980814.0	3482500.0
2018	Mali	mli	Transportation	415326817.0	22937275.0
2018	Pakistan	pak	Transportation	4086908172.0	99724921.0
2018	Comoros	com	Transportation	25071901.0	6912574.0
2018	Armenia	arm	Transportation	374866092.0	26200165.0
2018	Ghana	gha	Transportation	1557659032.0	13197498.0
2018	Iran	irn	Transportation	5402954627.0	190242596.0
2018	Senegal	sen	Transportation	727315857.0	8882947.0
2018	Estonia	est	Transportation	2416863486.0	1188200304.0
2018	Morocco	mar	Transportation	6652527469.0	6979215687.0
2018	Honduras	hnd	Transportation	731769363.0	84160657.0
2018	Eritrea	eri	Transportation	11673568.0	144949.0
2018	Bangladesh	bgd	Transportation	2462447271.0	129499886.0
2018	British Indian Ocean Territory	iot	Transportation	2171813.0	50176.0
2018	Mozambique	moz	Transportation	602675622.0	52260816.0
2018	Aruba	abw	Transportation	117344412.0	95746264.99999999
2018	Eswatini	swz	Transportation	121767211.0	12629124.0
2018	Italy	ita	Transportation	55408041851.0	58103596008.0
2018	Angola	ago	Transportation	2641311305.0	157942013.0
2018	Vietnam	vnm	Transportation	8544545045.0	4194349478.0
2018	Guatemala	gtm	Transportation	1468488729.0	65960351.0
2018	Norway	nor	Transportation	17766300875.0	3223884068.0
2018	Saint Vincent and the Grenadines	vct	Transportation	53250717.00000001	18607278.0
2018	Bhutan	btn	Transportation	97535071.0	10728995.0
2018	Antigua and Barbuda	atg	Transportation	219047261.0	122025791.0
2018	Saint Martin	maf	Transportation	56156144.0	544306.0
2018	Nepal	npl	Transportation	1092555464.0	1505722.0
2018	Netherlands	nld	Transportation	37949686699.0	32203674234.0
